WardCode,WardName,crime_2022_23,population_2021,area_km2,pop_density_2021,crime_rate_1000,young_adult_share_2021,unemployment_rate_2021,higher_education_share_2021,non_uk_born_share_2021,lone_parent_household_share_2021,severe_household_deprivation_share_2021
E05009317,Bethnal Green,2480,21229,1.2090601462825936,17558.27,116.82,42.79,7.12,44.7,41.56,13.35,26.5
E05009318,Blackwall & Cubitt Town,1568,21834,1.3524806612126612,16143.67,71.81,57.44,6.59,62.72,56.55,7.66,13.71
E05009319,Bow East,1984,19530,1.8682943719769525,10453.38,101.59,50.32,6.72,54.3,36.07,11.58,20.99
E05009320,Bow West,1433,13708,1.3584281206754747,10091.07,104.54,44.24,5.18,52.26,35.2,10.47,22.46
E05009321,Bromley North,1131,11429,0.6000273764057884,19047.46,98.96,43.48,8.95,43.15,43.98,13.64,26.67
E05009322,Bromley South,1113,14232,0.6916081247701727,20578.13,78.2,45.63,7.97,44.2,44.89,14.22,24.93
E05009323,Canary Wharf,2189,17920,1.4238305602573007,12585.77,122.15,55.07,5.4,64.0,60.8,7.67,12.87
E05009324,Island Gardens,693,14902,1.0392964285986912,14338.55,46.5,45.3,6.97,55.2,49.09,10.54,17.62
E05009325,Lansbury,1948,21734,1.2688270239252626,17129.21,89.63,41.99,8.0,41.38,45.55,14.94,27.27
E05009326,Limehouse,506,6751,0.39824000135472337,16952.09,74.95,51.59,4.53,62.94,50.53,5.93,14.06
E05009327,Mile End,2049,21795,1.2062017623892163,18069.12,94.01,46.55,7.89,45.76,45.05,12.63,24.7
E05009328,Poplar,902,7956,0.6958280959658918,11433.86,113.37,41.78,9.08,40.56,48.8,14.73,26.65
E05009329,St Dunstan's,1092,14364,0.681398394045967,21080.18,76.02,41.43,8.07,39.35,42.49,13.74,28.84
E05009330,St Katharine's & Wapping,953,12067,1.0624718841139293,11357.48,78.98,49.93,4.5,68.19,46.92,4.96,11.24
E05009331,St Peter's,2842,19970,1.0840402141665793,18421.83,142.31,48.01,6.96,48.2,43.91,9.71,25.22
E05009332,Shadwell,1243,12979,0.6276166654025431,20679.82,95.77,39.85,8.76,37.64,47.07,12.27,30.25
E05009333,Spitalfields & Banglatown,3144,13219,0.9124980294674813,14486.61,237.84,53.16,8.06,51.82,53.43,7.62,22.56
E05009334,Stepney Green,932,12451,0.6569121724894991,18953.83,74.85,39.41,8.1,37.34,45.27,13.39,31.41
E05009335,Weavers,2127,13268,0.6723426207612686,19733.99,160.31,47.48,7.23,52.03,43.55,10.35,23.41
E05009336,Whitechapel,2571,18981,0.9576995585723596,19819.37,135.45,53.93,5.72,53.54,55.07,7.62,17.25
E05009367,Brownswood,850,8988,0.4873395425884806,18442.99,94.57,48.11,5.18,63.05,41.04,11.59,18.16
E05009368,Cazenove,930,15211,0.7370839468532342,20636.73,61.14,35.24,7.07,40.97,35.16,13.07,24.22
E05009369,Clissold,1017,12497,1.0229775561296421,12216.3,81.38,37.81,5.45,61.59,33.9,14.34,17.89
E05009370,Dalston,2021,9012,0.5313399331247325,16960.89,224.26,53.67,5.83,65.65,42.56,10.93,16.18
E05009371,De Beauvoir,910,9025,0.5928359288582155,15223.44,100.83,44.39,5.63,62.26,40.82,13.57,17.76
